,f_stat,p_val
GNAS,0.12854127793869558,0.8796853392946483
RABGGTB,0.12853025257999195,0.8796949854336459
WDR55,0.12849297451777492,0.8797276010051225
OR8G1,0.1284833237734839,0.8797360449042914
KCNIP4,0.12840409215852377,0.8798053716398438
KIAA2013,0.12840086299840045,0.8798081972379406
MIRLET7BHG,0.12822720333382712,0.8799601678439741
ZMYM3,0.1281276995281571,0.880047256549152
SSBP2,0.12812604867887215,0.8800487014975718
ARMC7,0.12800442369734205,0.8801551637039471
GBP4,0.12799518935931423,0.8801632473614992
TEX43,0.12793500111176326,0.8802159375156474
KIF1BP,0.12792483699315194,0.880224835739675
RTN4IP1,0.1279019632464272,0.8802448610086432
MFAP5,0.1277983798199834,0.8803355510910691
LOC100507022///KDM4B,0.12773679166468885,0.880389477799189
C1QTNF7,0.1277006172721818,0.8804211537728416
CNTF,0.1276759378269635,0.8804427649200363
GAS8-AS1,0.1275823871933732,0.8805246897942353
LOC101928921,0.12757464979046154,0.8805314660075485
PTRHD1,0.12756038013354845,0.8805439631391418
STRIP1,0.127547936758503,0.8805548609939492
CLEC2D,0.12754175212768276,0.8805602775195615
ZNF625-ZNF20///ZNF20,0.12752997092622895,0.8805705956413189
PLEKHM1,0.1275236099705253,0.8805761666972982
CCSER1,0.12748144135909262,0.880613099764705
SNAI3-AS1,0.12743368034904237,0.8806549328436412
SLC17A3,0.12738600977819028,0.8806966887743263
SDHC,0.12735252679552986,0.8807260186502957
RBM6,0.127323315808374,0.880751607245191
EFHC2,0.12731709433779656,0.8807570573045825
ASMT,0.12729610282851472,0.8807754462987971
CLDN19,0.1272007759294116,0.8808589596609455
RNF14,0.12716919674931076,0.880886627161502
KIRREL,0.12707950287084585,0.8809652156956299
PRORY,0.12704099921469386,0.8809989543083244
LINC00954,0.1269268388205001,0.8810989946314564
MAGEA8,0.12687576868376074,0.8811437519285749
TRMT2A,0.12683624685132397,0.8811783900477691
SPACA6,0.1267541918585873,0.8812503100375461
HDLBP,0.12665912450557912,0.8813336428214836
NECAP2,0.1266366476037817,0.8813533465041611
SMS,0.12660529884235358,0.8813808281958789
KCTD19,0.1265676325061173,0.8814138493308308
LINC01125,0.12650670635216954,0.8814672644966933
DCPS,0.1263939298871617,0.8815661467624136
ARFGAP1,0.12635866193099532,0.8815970720366613
PDE10A,0.12633851258442594,0.8816147408227519
ZNF337,0.12629694511104844,0.8816511921436498
PPP1R14B,0.12624648566385005,0.8816954431196613
SPATA9,0.12617052135422172,0.8817620652366659
DCK,0.12608455671302787,0.8818374641612206
FAM166B,0.12597379021526822,0.8819346265135748
CCKBR,0.1259611089767319,0.881945750976833
ZNF584,0.12594012422622242,0.8819641599169652
SYNPO2,0.12590785953810746,0.8819924650002631
PCSK7,0.1258122780818529,0.8820763220149922
ARRB1,0.1258071760932644,0.8820807984049137
LOC100507395,0.1257710238066727,0.8821125184274639
CHD6,0.12576305472969385,0.8821195106569529
FAM58A,0.1257029961910265,0.88217220909354
ATP11A,0.1256450578575449,0.8822230502640089
RANGAP1,0.12560508006574309,0.8822581327525607
GAB4,0.12554943445997518,0.882306966943586
GLIPR2,0.12551750679306223,0.8823349877111264
MS4A8,0.125447726155109,0.8823962327172015
ABHD3,0.1254140621477536,0.8824257804969863
LSM7,0.12538901550053355,0.8824477652636349
LOC101928669///LOC644450,0.12537139465487995,0.8824632323537772
DAZAP2,0.12536706594833555,0.8824670320157033
SMOC1,0.12531697200632214,0.8825110048314746
LOC100131053,0.12527836941897505,0.8825448920134736
TMEM248,0.12527595630973926,0.8825470104002605
UBE2G2,0.12520029142004238,0.882613436730854
LINC01289,0.12507953185136822,0.8827194625520874
PEX5L,0.12507651395413463,0.8827221124089315
LOC101927482,0.12500327623126692,0.882786421144336
CD300A,0.12498395544727744,0.882803387193653
OTOR,0.1249519440635365,0.8828314979148039
MIR3976HG,0.12489148223348519,0.8828845948741963
GTF2H1,0.12487074440993527,0.8829028073850621
FBLN1,0.12477205377522511,0.8829894855055259
LOC284014,0.12476200745736102,0.8829983094942603
HOXC5,0.12469719393183722,0.8830552394089841
TAPT1-AS1,0.12466888684407837,0.8830801045570169
MRPL50,0.12459354874945001,0.8831462856340109
MGLL,0.12451672983962506,0.8832137728639247
CPA1,0.12449896974549189,0.8832293762920483
BMP15,0.12442302065394624,0.8832961058807116
MT3,0.1243867210934481,0.8833280008735402
NPR2,0.12424429167451466,0.8834531595880672
ATG4C,0.12415794278781475,0.8835290469846269
PLCG1,0.1240427303924883,0.8836303115512799
SCOC-AS1,0.12396016431238055,0.8837028894697628
GJD3,0.12373613120647482,0.8838998522150072
GNPTG,0.1236762296070691,0.883952523540653
MATN3,0.12367163688536868,0.88395656204435
IL17F,0.12366601513094094,0.8839615054303775
PCGF2,0.12345600220710627,0.8841461970708369
ZXDC,0.12339395938371053,0.8842007670813985
LSM3,0.12337390056002723,0.884218410650204
CCNJ,0.12334910933673908,0.8842402173041506
SCD5,0.12327800600263453,0.884302763750044
LSM4,0.12321219670974956,0.8843606573730625
LOC257396,0.1231646947709596,0.8844024481416639
COBL,0.12313586057374888,0.884427816600186
LOC101927432,0.12308654651239856,0.8844712050950736
VIPAS39,0.12306185886375123,0.88449292711499
RNASE6,0.12301907708229523,0.8845305710087608
ELK3,0.12298265926302317,0.8845626165379
FOXP1,0.12290523670950677,0.8846307478322454
IGBP1,0.12289102561465363,0.884643254088512
METRN,0.12288047004006829,0.8846525434794836
TENM1,0.12285470492556513,0.8846752183919787
LGALSL,0.12285182790996493,0.8846777503832843
PLA2R1,0.12283511807279043,0.8846924564530713
ZNF213-AS1,0.12277266148134942,0.8847474257918228
CSN1S1,0.12274036033916931,0.8847758560925487
OR1E1,0.12273907980168368,0.8847769831951018
ANKRD65,0.1227136721441658,0.8847993467981146
CALHM1,0.12267318310592494,0.884834986121404
ZNF511,0.12264234804636487,0.8848621288086743
KRTAP7-1,0.12256210566450901,0.8849327665621789
IFI27,0.1225302280683462,0.8849608301945621
SDCBP2-AS1,0.12251643136490199,0.8849729764926195
SMIM19,0.12250641284148031,0.8849817966774465
SCAND1,0.12250169049891432,0.8849859542015559
PRO2958,0.12231483665141346,0.8851504756328621
DMRT3,0.12213283352110582,0.8853107567512298
VPS13D,0.1220223442820136,0.8854080738970211
LY6E,0.12189172903406649,0.885523132093093
PIDD1,0.12186723100066055,0.8855447140011581
ACSM2B,0.12184243154256483,0.885566562012339
CST3,0.12177761494298107,0.8856236672765304
GLRX2,0.12167330998946899,0.8857155709615553
EMX2OS,0.12165098481031804,0.8857352430950922
LOC100272217,0.12164649269419421,0.8857392014390171
DHX15,0.12157819475310867,0.8857993862022886
FLAD1,0.1215301840239255,0.8858416962429153
TMEM136,0.12151530796083021,0.8858548063824926
LOC100507468,0.1215132304277441,0.8858566373096703
SRPRB,0.12147662016544372,0.8858889025330362
TXLNGY,0.12137830932275,0.8859755515503724
LINC01115,0.12136993638063304,0.8859829316859406
DLG1,0.1213538610131741,0.8859971011252713
USP27X-AS1,0.12132978521831413,0.8860183228870068
SLC22A5,0.12128314560773339,0.8860594351745835
LOC101929592,0.12127359104741704,0.8860678576565475
MOB4,0.12126037287309899,0.8860795098044116
FAM21EP///FAM21FP,0.12116159312157777,0.8861665916583819
LRRN3,0.12115712256976947,0.8861705330004053
RNF26,0.12114136826111116,0.8861844225095105
PQBP1,0.12107779011359968,0.886240477371074
SYDE1,0.12106628783573418,0.8862506189641204
C8orf88,0.12105062238528673,0.8862644314335858
LOC100294362,0.1210375822225295,0.886275929317533
UTRN,0.12099386321753917,0.8863144787476305
ADH1C,0.1209493605376486,0.8863537209819924
BDKRB2,0.12088780766392246,0.8864080009750178
SEPT4,0.12080699733613587,0.8864792682875899
FANCB,0.12078453582809823,0.886499078342736
IFI6,0.12070580063785778,0.886568522937414
LHFPL1,0.12070244126517501,0.8865714860369653
ZNF740,0.12068760698422772,0.8865845705828341
HOXD10,0.12061562632014125,0.8866480638326951
ERGIC1,0.12060420628110248,0.8866581377430194
AGAP1,0.12057044536175081,0.8866879198166261
UQCC2,0.1205277633025654,0.8867255731343808
SLC25A24,0.12043779371981268,0.8868049480852652
ABHD14A///ACY1,0.12041608003021749,0.8868241059253132
TEX26,0.1203797082070392,0.8868561975032433
CKS1B,0.12033485449723812,0.8868957744844136
NDUFB8,0.12033146748985138,0.8868987631085844
C1orf35,0.12031918018977149,0.8869096052522047
SLMAP,0.12020710973578703,0.8870085010486423
MOBP,0.12015987748141006,0.8870501842682312
WDCP,0.12014013590082592,0.8870676071338628
TMPO,0.12009128669960448,0.8871107203659575
TNP2,0.12004341411246615,0.8871529737793928
